dimension,birth,death,persistence
1,0.00019625000000000035,0.00030554494319447666,0.00010929494319447631
1,3.650000000000007e-05,0.00012406916099773303,8.756916099773296e-05
1,3.425000000000006e-05,0.0001183780421849653,8.412804218496524e-05
1,2.6000000000000046e-05,9.642013412589527e-05,7.042013412589523e-05
1,2.6000000000000046e-05,9.629241928418725e-05,7.02924192841872e-05
1,5.8249999999999884e-05,0.00012378124999999992,6.553125000000004e-05
1,2.825000000000005e-05,9.339506172839347e-05,6.514506172839342e-05
1,8.425000000000015e-05,0.00014675605536332287,6.250605536332272e-05
1,1.625000000000003e-05,7.440650109569083e-05,5.81565010956908e-05
1,1.3000000000000023e-05,7.066326530612297e-05,5.766326530612295e-05
1,4.250000000000007e-05,9.970778901473659e-05,5.720778901473652e-05
1,9.250000000000016e-06,6.575979822906084e-05,5.650979822906083e-05
1,1.0000000000000018e-05,6.575979822906128e-05,5.575979822906126e-05
1,1.125000000000002e-05,6.644140625000018e-05,5.519140625000016e-05
1,1.024999999999988e-05,6.500000000000022e-05,5.475000000000034e-05
1,1.0000000000000018e-05,6.472222222222216e-05,5.472222222222214e-05
1,1.0250000000000019e-05,6.472222222222216e-05,5.447222222222214e-05
1,1.700000000000003e-05,7.112244897959177e-05,5.412244897959174e-05
1,1.0000000000000018e-05,6.40625e-05,5.4062499999999986e-05
1,1.0000000000000018e-05,6.40625e-05,5.4062499999999986e-05
1,1.0000000000000018e-05,6.358564013840932e-05,5.35856401384093e-05
1,1.0000000000000018e-05,6.358564013840854e-05,5.3585640138408524e-05
1,1.0250000000000019e-05,6.358564013840814e-05,5.333564013840812e-05
1,1.0250000000000019e-05,6.358564013840814e-05,5.333564013840812e-05
1,1.8250000000000034e-05,7.04281663516071e-05,5.2178166351607064e-05
1,1.3000000000000023e-05,6.431640625000022e-05,5.1316406250000194e-05
1,1.5250000000000027e-05,6.640999999999986e-05,5.1159999999999835e-05
1,1.0250000000000019e-05,6.132111111111124e-05,5.1071111111111224e-05
1,1.5250000000000028e-05,6.626953124999962e-05,5.101953124999959e-05
1,1.0000000000000018e-05,6.053940790118544e-05,5.053940790118542e-05
1,9.250000000000016e-06,5.9282188615836944e-05,5.003218861583693e-05
1,1.0000000000000018e-05,5.9878826530612254e-05,4.9878826530612235e-05
1,1.0000000000000018e-05,5.9282188615836944e-05,4.9282188615836925e-05
1,1.0000000000000018e-05,5.9282188615836944e-05,4.9282188615836925e-05
1,1.0000000000000018e-05,5.908648919581294e-05,4.908648919581292e-05
1,1.0000000000000018e-05,5.9086489195812124e-05,4.9086489195812105e-05
1,1.0250000000000019e-05,5.9086489195812124e-05,4.8836489195812105e-05
1,1.0250000000000019e-05,5.908648919581143e-05,4.8836489195811414e-05
1,1.800000000000003e-05,6.601562500000033e-05,4.80156250000003e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.793234702671661e-05,4.768234702671659e-05
1,1.0250000000000019e-05,5.7932347026715876e-05,4.768234702671586e-05
1,1.0250000000000019e-05,5.7932347026715876e-05,4.768234702671586e-05
1,1.0250000000000019e-05,5.788434903047099e-05,4.763434903047097e-05
1,1.0250000000000019e-05,5.788434903047058e-05,4.763434903047056e-05
1,3.1250000000000055e-05,7.830715850986046e-05,4.705715850986041e-05
1,2.4250000000000044e-05,7.126839506172862e-05,4.701839506172857e-05
1,1.3250000000000024e-05,5.9878826530612505e-05,4.662882653061248e-05
1,1.125000000000002e-05,5.750444444444466e-05,4.6254444444444634e-05
1,1.3250000000000024e-05,5.93092300832358e-05,4.6059230083235776e-05
1,1.3250000000000024e-05,5.930923008323499e-05,4.605923008323496e-05
1,1.3250000000000024e-05,5.930923008323499e-05,4.605923008323496e-05
1,1.3249999999999829e-05,5.9309230083234174e-05,4.6059230083234346e-05
1,7.850000000000015e-05,0.00012320720000000008,4.470719999999994e-05
1,8.500000000000016e-05,0.00012961526447313526,4.46152644731351e-05
1,1.5250000000000027e-05,5.971593481213227e-05,4.4465934812132246e-05
1,3.650000000000007e-05,8.089264631472512e-05,4.439264631472506e-05
1,9.999999999999962e-06,5.4091695501729865e-05,4.409169550172991e-05
1,1.1250000000000021e-05,5.5061983471074815e-05,4.381198347107479e-05
1,1.0000000000000018e-05,5.362426035502946e-05,4.362426035502944e-05
1,1.0250000000000019e-05,5.362426035502946e-05,4.337426035502944e-05
1,9.999999999999962e-06,5.281249999999983e-05,4.281249999999987e-05
1,1.700000000000003e-05,5.933316115702518e-05,4.2333161157025146e-05
1,1.0000000000000018e-05,5.174016665489673e-05,4.174016665489671e-05
1,9.999999999999962e-06,5.161283200000058e-05,4.161283200000061e-05
1,1.3000000000000023e-05,5.448150634765653e-05,4.14815063476565e-05
1,8.99999999999985e-06,5.043509154603776e-05,4.143509154603791e-05
1,1.0250000000000019e-05,5.107027714055455e-05,4.082027714055453e-05
1,1.0000000000000018e-05,5.0737033055629684e-05,4.0737033055629665e-05
1,9.999999999999796e-06,5.043509154603776e-05,4.0435091546037964e-05
1,2.125000000000004e-05,6.110898863889559e-05,3.9858988638895545e-05
1,0.0001232500000000002,0.00016299479362497272,3.974479362497252e-05
1,3.649999999999976e-05,7.589852922610747e-05,3.939852922610771e-05
1,2.4249999999999932e-05,6.333813917723893e-05,3.9088139177239e-05
1,2.0000000000000036e-05,5.847750865051963e-05,3.847750865051959e-05
1,2.825000000000005e-05,6.666528925619822e-05,3.841528925619817e-05
1,2.250000000000004e-05,6.047530864197448e-05,3.797530864197444e-05
1,2.1249999999999873e-05,5.888282468255739e-05,3.7632824682557515e-05
1,2.1249999999999873e-05,5.860152695824457e-05,3.7351526958244695e-05
1,1.3000000000000023e-05,5.032000000000006e-05,3.7320000000000036e-05
1,3.425000000000006e-05,7.11224489795922e-05,3.6872448979592134e-05
1,1.2500000000000023e-05,4.934890187576579e-05,3.684890187576577e-05
1,2.9250000000000054e-05,6.571893491124237e-05,3.646893491124232e-05
1,1.2500000000000023e-05,4.888895076854529e-05,3.6388950768545265e-05
1,1.3250000000000024e-05,4.938174661147641e-05,3.613174661147639e-05
1,3.7000000000000066e-05,7.294444444444546e-05,3.59444444444454e-05
1,9.999999999999962e-06,4.590484429065743e-05,3.5904844290657475e-05
1,1.0000000000000018e-05,4.590484429065743e-05,3.5904844290657414e-05
1,1.0000000000000018e-05,4.590484429065743e-05,3.5904844290657414e-05
1,1.0000000000000018e-05,4.590484429065743e-05,3.5904844290657414e-05
1,1.0000000000000018e-05,4.590484429065743e-05,3.5904844290657414e-05
1,1.0000000000000018e-05,4.590484429065673e-05,3.590484429065671e-05
1,1.0000000000000018e-05,4.5492843838839195e-05,3.5492843838839175e-05
1,1.0250000000000019e-05,4.538580246913561e-05,3.513580246913559e-05
1,1.0000000000000018e-05,4.438890624999995e-05,3.438890624999993e-05
1,1.0000000000000018e-05,4.438890624999995e-05,3.438890624999993e-05
1,1.1249999999999853e-05,4.55555555555556e-05,3.4305555555555746e-05
1,1.625000000000003e-05,5.03199999999996e-05,3.406999999999957e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.0000000000000018e-05,4.404958677685948e-05,3.404958677685946e-05
1,1.625000000000003e-05,5.028206295525489e-05,3.403206295525486e-05
1,1.6249999999999805e-05,4.9925063775510244e-05,3.367506377551044e-05
1,2.125000000000004e-05,5.479916897506914e-05,3.35491689750691e-05
1,1.0000000000000018e-05,4.338532256350341e-05,3.3385322563503394e-05
1,1.3000000000000023e-05,4.5904844290657474e-05,3.290484429065745e-05
1,1.0250000000000019e-05,4.250000000000008e-05,3.225000000000006e-05
1,1.0250000000000019e-05,4.249999999999941e-05,3.224999999999939e-05
1,1.3250000000000024e-05,4.533833141099568e-05,3.2088331410995653e-05
1,2.1250000000000035e-05,5.2962018140589303e-05,3.171201814058927e-05
1,1.5250000000000027e-05,4.670066072967608e-05,3.1450660729676056e-05
1,1.0250000000000019e-05,4.155118295786582e-05,3.13011829578658e-05
1,1.3000000000000023e-05,4.379591836734717e-05,3.079591836734715e-05
1,1.3000000000000023e-05,4.343395557655942e-05,3.0433955576559393e-05
1,1.0250000000000019e-05,4.062499999999957e-05,3.0374999999999552e-05
1,1.3250000000000024e-05,4.3464491172386417e-05,3.0214491172386393e-05
1,1.2500000000000023e-05,4.223033107867563e-05,2.973033107867561e-05
1,2.0000000000000036e-05,4.9710998535155965e-05,2.971099853515593e-05
1,1.4500000000000027e-05,4.404958677685948e-05,2.9549586776859453e-05
1,1.3000000000000023e-05,4.250000000000008e-05,2.9500000000000053e-05
1,2.8999999999999773e-05,5.832603206665746e-05,2.9326032066657686e-05
1,1.0000000000000018e-05,3.924149593177129e-05,2.924149593177127e-05
1,1.0250000000000019e-05,3.944000000000003e-05,2.919000000000001e-05
1,1.0250000000000019e-05,3.924149593177169e-05,2.899149593177167e-05
1,2.0000000000000036e-05,4.8828124999999434e-05,2.8828124999999398e-05
1,1.0250000000000019e-05,3.89197530864198e-05,2.8669753086419783e-05
1,1.0250000000000019e-05,3.89197530864198e-05,2.8669753086419783e-05
1,1.0250000000000019e-05,3.89197530864198e-05,2.8669753086419783e-05
1,1.0250000000000019e-05,3.8919753086419476e-05,2.8669753086419457e-05
1,5.62500000000001e-05,8.484278549382741e-05,2.859278549382731e-05
1,1.3250000000000024e-05,4.1836734693878364e-05,2.858673469387834e-05
1,1.3000000000000023e-05,4.155118295786582e-05,2.8551182957865795e-05
1,1.3000000000000023e-05,4.155118295786582e-05,2.8551182957865795e-05
1,1.3000000000000023e-05,4.155118295786551e-05,2.8551182957865483e-05
1,1.700000000000003e-05,4.4785234194497175e-05,2.7785234194497145e-05
1,1.1250000000000021e-05,3.89197530864198e-05,2.766975308641978e-05
1,1.1250000000000021e-05,3.89197530864198e-05,2.766975308641978e-05
