step_bin,log_value_bin,count
0,0,1
0,9,1
0,15,1
0,19,1
0,22,1
0,25,1
0,27,1
0,29,1
0,30,1
0,32,1
0,33,1
0,34,1
0,35,1
0,37,2
0,38,1
0,39,1
0,40,1
0,41,1
0,42,2
0,43,2
0,44,1
0,45,2
0,46,2
0,47,2
0,48,2
0,49,3
0,50,2
0,51,3
0,52,3
0,53,4
0,54,3
0,55,4
0,56,4
0,57,4
0,58,5
0,59,5
0,60,5
0,61,6
0,62,6
0,63,6
0,64,8
0,65,7
0,66,8
0,67,9
0,68,10
0,69,10
0,70,11
0,71,11
0,72,13
0,73,13
0,74,15
0,75,15
0,76,17
0,77,18
0,78,19
0,79,21
0,80,22
0,81,24
0,82,26
0,83,27
0,84,30
0,85,31
0,86,34
0,87,37
0,88,39
0,89,42
0,90,46
0,91,48
0,92,53
0,93,56
0,94,60
0,95,65
0,96,69
0,97,75
0,98,80
0,99,86
0,100,93
0,101,99
0,102,107
0,103,114
0,104,123
0,105,132
0,106,142
0,107,152
0,108,164
0,109,176
0,110,188
0,111,203
0,112,217
0,113,234
0,114,251
0,115,269
0,116,290
0,117,310
0,118,334
0,119,359
0,120,385
0,121,413
0,122,444
0,123,477
0,124,512
0,125,549
0,126,591
0,127,634
0,128,681
0,129,107
1,0,1
1,9,1
1,15,1
1,19,1
1,22,1
1,25,1
1,27,1
1,29,1
1,30,1
1,32,2
1,33,1
1,34,1
1,35,1
1,37,2
1,38,2
1,39,1
1,40,1
1,41,1
1,42,2
1,43,3
1,44,1
1,45,2
1,46,3
1,47,2
1,48,2
1,49,4
1,50,2
1,51,4
1,52,3
1,53,5
1,54,3
1,55,5
1,56,5
1,57,4
1,58,6
1,59,6
1,60,6
1,61,7
1,62,7
1,63,7
1,64,9
1,65,8
1,66,10
1,67,10
1,68,12
1,69,11
1,70,13
1,71,13
1,72,15
1,73,15
1,74,18
1,75,17
1,76,20
1,77,21
1,78,22
1,79,25
1,80,26
1,81,28
1,82,30
1,83,31
1,84,35
1,85,37
1,86,39
1,87,43
1,88,46
1,89,49
1,90,54
1,91,56
1,92,61
1,93,66
1,94,70
1,95,76
1,96,80
1,97,88
1,98,93
1,99,100
1,100,109
1,101,115
1,102,125
1,103,133
1,104,144
1,105,154
1,106,165
1,107,178
1,108,191
1,109,205
1,110,220
1,111,236
1,112,254
1,113,273
1,114,292
1,115,314
1,116,339
1,117,361
1,118,390
1,119,212
1,120,64
1,121,69
1,122,74
1,123,79
1,124,86
1,125,91
1,126,99
1,127,105
1,128,114
1,129,122
1,130,131
1,131,140
1,132,151
1,133,162
1,134,174
1,135,187
1,136,201
1,137,216
1,138,231
1,139,249
1,140,267
1,141,287
1,142,308
1,143,331
1,144,194
2,0,1
2,9,1
2,15,1
2,19,1
2,22,2
2,25,1
2,27,1
2,29,2
2,30,1
2,32,2
2,33,2
2,34,1
2,35,1
2,37,3
2,38,2
2,39,2
2,40,1
2,41,1
2,42,3
2,43,4
2,44,1
2,45,3
2,46,3
2,47,3
