prefix,count,frequency
1010101010101010,39,0.0039
1010010101010100,20,0.002
1010101010010010,20,0.002
1001010101010010,20,0.002
1010101001001010,20,0.002
0101001010101010,20,0.002
1010100010101010,20,0.002
1010010101001010,20,0.002
1010100101010100,20,0.002
1010101001010010,20,0.002
1010101010101001,20,0.002
1001010100101010,20,0.002
1010010101010010,20,0.002
1010101010010101,20,0.002
1010100101001010,20,0.002
1001010101010101,20,0.002
1010101010100100,20,0.002
0101010010101010,20,0.002
1010101000101010,20,0.002
1001001010101010,20,0.002
1010100101010010,20,0.002
1010101001010101,20,0.002
1010010100101010,20,0.002
0101010101010100,20,0.002
1010010101010101,19,0.0019
0101010101001010,19,0.0019
1010101010100010,19,0.0019
1010100100101010,19,0.0019
0100101010101010,19,0.0019
1010001010101010,19,0.0019
1010100101010101,19,0.0019
1001010010101010,19,0.0019
0101010101010010,19,0.0019
1010101010101000,19,0.0019
1010101010010100,19,0.0019
1001010101010100,19,0.0019
1010101010100101,19,0.0019
0101010100101010,19,0.0019
1010101010001010,19,0.0019
1001010101001010,19,0.0019
1010010010101010,19,0.0019
1010101001010100,19,0.0019
0010101010101010,19,0.0019
1000101010101010,19,0.0019
0101010101010101,19,0.0019
1001010100100010,10,0.001
1001010001010010,10,0.001
1001001010001010,10,0.001
1010100101000010,10,0.001
1010010100001010,10,0.001
